Class Timing,Class Name,Program,Classroom,Class ID,Professor Name,Day,Comments 
11:30 am to 12:45 pm,Computer Architecture and Assembly Language (2 Merge Sessions),BSCS-4,MTS 7,98504,Dr. Salman Zafar ,Tuesday,2 Merge Sessions
11:30 am to 12:45 pm,"Computer Communication and Networking (Lab) Only Tuesday 
11:30 am to 2:15 pm
",BSCS-4,MTL-4,98470,Mr. M. Waseem Arain,Tuesday,Lab Only Tuesday 
11:30 am to 12:45 pm,Computer Communication and Networking (Lab) Only Tuesday 11:30 am to 2:15 pm,BSCS-4,MCL-1,98471,Ms. Tasbiha Fatima,Tuesday,Lab Only Tuesday 
1:00 pm to 2:15 pm,"Computer Communication and Networking (Lab) Only Tuesday 
11:30 am to 2:15 pm
",BSCS-4,MTL-4,98470,Mr. M. Waseem Arain,Tuesday,Lab Only Tuesday 
1:00 pm to 2:15 pm,"Computer Communication and Networking (Lab) Only Tuesday 
11:30 am to 2:15 pm
",BSCS-4,MTL-4,98471,Ms. Tasbiha Fatima,Tuesday,Lab Only Tuesday 
1:00 pm to 2:15 pm,"Computer Architecture and Assembly Language (Lab) Only Tuesday 1:00 to 3:45 pm 
",BSCS-4,MCL-3,98496,Ms. Mewish Zafar ,Tuesday,Lab Only Tuesday 
1:00 pm to 2:15 pm,Introduction to Artificial Intelligence,BSCS-4,MTC-20,98505,Dr.Tahir Syed,Tuesday,Lecture
2:30 pm to 3:45 pm,Introduction to Artificial Intelligence,BSCS-4,MTC-20,98512,Dr.Tahir Syed,Tuesday,Lecture
2:30 pm to 3:45 pm,"Computer Architecture and Assembly Language (Lab) Only Tuesday 1:00 to 3:45 pm 
",BSCS-4,MCL-3,98496,Ms. Mewish Zafar ,Tuesday,Lab Only Tuesday 
2:30 pm to 3:45 pm,Computer Architecture and Assembly Language,BSCS-4,MTL-4,98473,Dr. Salman Zafar ,Tuesday,Lecture
10:00 am to 11:15 am ,Introduction to Artificial Intelligence,BSCS-4,MTC-20A,98464,Ms. Sumaira Saeed,Thrusday ,Lecture
10:00 am to 11:15 am ,Computer Communication and Networking (Lecture),BSCS-4,MTC-26,98470,Mr. M. Waseem Arain,Thrusday ,Lecture
10:00 am to 11:15 am ,Computer Communication and Networking (Lecture),BSCS-4,MTC-28,98471,Ms.Tasbiha Fatima,Thrusday ,Lecture
10:00 am to 11:15 am ,Computer Architecture and Assembly Language (2 Merge Sessions) ,BSCS-4,MTS 6,98496,Dr. Salman Zafar ,Thrusday ,2 Merge Sessions
10:00 am to 11:15 am ,Computer Architecture and Assembly Language (2 Merge Sessions) ,BSCS-4,MTS 6,98472,Dr. Salman Zafar ,Thrusday ,2 Merge Sessions
11:30 am to 12:45 pm,Introduction to Artificial Intelligence,BSCS-4,MTC-20,98493,Dr. Syed Ali Raza,Thrusday ,Lecture
11:30 am to 12:45 pm,Computer Architecture and Assembly Language (2 Merge Sessions),BSCS-4,MTS 7,98503,Dr. Salman Zafar ,Tuesday,2 Merge Sessions
11:30 am to 12:45 pm,Computer Architecture and Assembly Language (2 Merge Sessions),BSCS-4,MTS 7,98504,Dr. Salman Zafar ,Tuesday,2 Merge Sessions
2:30 pm to 3:45 pm,Introduction to Artificial Intelligence,BSCS-4,MTC-20,98512,Dr.Tahir Syed,Thrusday ,Lecture
2:30 pm to 3:45 pm,"Computer Architecture and Assembly Language (Lab) Only Tuesday 1:00 to 3:45 pm 
",BSCS-4,MCL-3,98496,Ms. Mewish Zafar ,Thrusday ,Lab Only Tuesday 
2:30 pm to 3:45 pm,Computer Architecture and Assembly Language,BSCS-4,MTL-4,98473,Dr. Salman Zafar ,Thrusday ,Lecture
8:30 am to 9:45 am,Computer Architecture and Assembly Language (Lab) Only Friday 8:30 to 11:15 am,BSCS-4,MCL-1,98473,Ms. Asma Tauqir ,Friday,Lab Only Friday
10:00 am to 11:15 am ,Computer Architecture and Assembly Language (Lab) Only Friday 8:30 to 11:15 am,BSCS-4,MCL-1,98473,Ms. Asma Tauqir ,Friday,Lab Only Friday
8:30 am to 9:45 am,Pakistan History Only Saturday 8:30 to 11:15 am,BSCS-4,MAC-3,98525,Dr. Moiz Khan,Saturday,Lecture
10:00 am to 11:15 am,Pakistan History Only Saturday 8:30 to 11:15 am,BSCS-4,MAC-3,98525,Dr. Moiz Khan,Saturday,Lecture
